,구,동,평균거주인구
0,종로구,청운효자동,51.0
1,종로구,사직동,82.0
2,종로구,삼청동,19.0
3,종로구,부암동,45.0
4,종로구,평창동,22.0
5,종로구,무악동,189.0
6,종로구,교남동,294.0
7,종로구,가회동,77.0
8,종로구,종로1.2.3.4가동,30.0
9,종로구,종로5.6가동,87.0
10,종로구,이화동,101.0
11,종로구,혜화동,145.0
12,종로구,창신1동,173.0
13,종로구,창신2동,324.0
14,종로구,창신3동,320.0
15,종로구,숭인1동,257.0
16,종로구,숭인2동,270.0
17,중구,소공동,23.0
18,중구,회현동,56.0
19,중구,명동,28.0
20,중구,필동,28.0
21,중구,장충동,45.0
22,중구,광희동,70.0
23,중구,을지로동,32.0
24,중구,신당동,143.0
25,중구,다산동,266.0
26,중구,약수동,336.0
27,중구,청구동,407.0
28,중구,신당5동,327.0
29,중구,동화동,334.0
30,중구,황학동,384.0
31,중구,중림동,253.0
32,용산구,후암동,204.0
33,용산구,용산2가동,48.0
34,용산구,남영동,104.0
35,용산구,청파동,228.0
36,용산구,원효로1동,273.0
37,용산구,원효로2동,155.0
38,용산구,효창동,214.0
39,용산구,용문동,432.0
40,용산구,한강로동,59.0
41,용산구,이촌1동,131.0
42,용산구,이촌2동,73.0
43,용산구,이태원1동,117.0
44,용산구,이태원2동,105.0
45,용산구,한남동,67.0
46,용산구,서빙고동,60.0
47,용산구,보광동,158.0
48,성동구,왕십리2동,449.0
49,성동구,왕십리도선동,377.0
50,성동구,마장동,210.0
51,성동구,사근동,101.0
52,성동구,행당1동,250.0
53,성동구,행당2동,526.0
54,성동구,응봉동,288.0
55,성동구,금호1가동,356.0
56,성동구,금호2.3가동,367.0
57,성동구,금호4가동,155.0
58,성동구,옥수동,217.0
59,성동구,성수1가1동,74.0
60,성동구,성수1가2동,136.0
61,성동구,성수2가1동,147.0
62,성동구,성수2가3동,106.0
63,성동구,송정동,183.0
64,성동구,용답동,50.0
65,광진구,화양동,201.0
66,광진구,군자동,272.0
67,광진구,중곡1동,268.0
68,광진구,중곡2동,400.0
69,광진구,중곡3동,277.0
70,광진구,중곡4동,127.0
71,광진구,능동,106.0
72,광진구,광장동,123.0
73,광진구,자양1동,366.0
74,광진구,자양2동,157.0
75,광진구,자양3동,259.0
76,광진구,자양4동,146.0
77,광진구,구의1동,398.0
78,광진구,구의2동,198.0
79,광진구,구의3동,202.0
80,동대문구,용신동,196.0
81,동대문구,제기동,210.0
82,동대문구,전농1동,271.0
83,동대문구,전농2동,195.0
84,동대문구,답십리1동,356.0
85,동대문구,답십리2동,340.0
86,동대문구,장안1동,284.0
87,동대문구,장안2동,295.0
88,동대문구,청량리동,164.0
89,동대문구,회기동,127.0
90,동대문구,휘경1동,265.0
91,동대문구,휘경2동,201.0
92,동대문구,이문1동,185.0
93,동대문구,이문2동,293.0
94,중랑구,면목2동,333.0
95,중랑구,면목4동,228.0
96,중랑구,면목5동,256.0
97,중랑구,면목본동,408.0
98,중랑구,면목7동,186.0
99,중랑구,면목3.8동,160.0
100,중랑구,상봉1동,270.0
101,중랑구,상봉2동,302.0
102,중랑구,중화1동,318.0
103,중랑구,중화2동,266.0
104,중랑구,묵1동,299.0
105,중랑구,묵2동,285.0
106,중랑구,망우본동,99.0
107,중랑구,망우3동,177.0
108,중랑구,신내1동,168.0
109,중랑구,신내2동,226.0
110,성북구,성북동,42.0
111,성북구,삼선동,281.0
112,성북구,동선동,216.0
113,성북구,돈암1동,327.0
114,성북구,돈암2동,448.0
115,성북구,안암동,115.0
116,성북구,보문동,286.0
117,성북구,정릉1동,448.0
118,성북구,정릉2동,207.0
119,성북구,정릉3동,48.0
120,성북구,정릉4동,69.0
121,성북구,길음1동,447.0
122,성북구,길음2동,309.0
123,성북구,종암동,267.0
124,성북구,월곡1동,317.0
125,성북구,월곡2동,151.0
126,성북구,장위1동,283.0
127,성북구,장위2동,203.0
128,성북구,장위3동,260.0
129,성북구,석관동,201.0
130,강북구,삼양동,258.0
131,강북구,미아동,267.0
132,강북구,송중동,280.0
133,강북구,송천동,296.0
134,강북구,삼각산동,525.0
135,강북구,번1동,308.0
136,강북구,번2동,165.0
137,강북구,번3동,163.0
138,강북구,수유1동,122.0
139,강북구,수유2동,367.0
140,강북구,수유3동,320.0
141,강북구,우이동,20.0
142,강북구,인수동,109.0
143,도봉구,창1동,228.0
144,도봉구,창2동,453.0
145,도봉구,창3동,225.0
146,도봉구,창4동,236.0
147,도봉구,창5동,372.0
148,도봉구,도봉1동,25.0
149,도봉구,도봉2동,231.0
150,도봉구,쌍문1동,185.0
151,도봉구,쌍문2동,357.0
152,도봉구,쌍문3동,332.0
153,도봉구,쌍문4동,354.0
154,도봉구,방학1동,278.0
155,도봉구,방학2동,184.0
156,도봉구,방학3동,150.0
157,노원구,월계1동,205.0
158,노원구,월계2동,138.0
159,노원구,월계3동,247.0
160,노원구,공릉1동,310.0
161,노원구,공릉2동,55.0
162,노원구,하계1동,187.0
163,노원구,하계2동,441.0
164,노원구,중계본동,119.0
165,노원구,중계1동,440.0
166,노원구,중계4동,134.0
167,노원구,중계2.3동,389.0
168,노원구,상계1동,78.0
169,노원구,상계2동,327.0
170,노원구,상계3.4동,54.0
171,노원구,상계5동,436.0
172,노원구,상계6.7동,234.0
173,노원구,상계8동,343.0
174,노원구,상계9동,254.0
175,노원구,상계10동,217.0
176,은평구,녹번동,194.0
177,은평구,불광1동,98.0
178,은평구,불광2동,226.0
179,은평구,갈현1동,252.0
180,은평구,갈현2동,283.0
181,은평구,구산동,249.0
182,은평구,대조동,314.0
183,은평구,응암1동,275.0
184,은평구,응암2동,328.0
185,은평구,응암3동,371.0
186,은평구,역촌동,409.0
187,은평구,신사1동,334.0
188,은평구,신사2동,198.0
189,은평구,증산동,172.0
190,은평구,수색동,90.0
191,은평구,진관동,44.0
192,서대문구,천연동,202.0
193,서대문구,북아현동,359.0
194,서대문구,충현동,184.0
195,서대문구,신촌동,77.0
196,서대문구,연희동,122.0
197,서대문구,홍제1동,163.0
198,서대문구,홍제3동,145.0
199,서대문구,홍제2동,202.0
200,서대문구,홍은1동,149.0
201,서대문구,홍은2동,132.0
202,서대문구,남가좌1동,340.0
203,서대문구,남가좌2동,381.0
204,서대문구,북가좌1동,303.0
205,서대문구,북가좌2동,415.0
206,마포구,아현동,321.0
207,마포구,공덕동,406.0
208,마포구,도화동,252.0
209,마포구,용강동,219.0
210,마포구,대흥동,168.0
211,마포구,염리동,250.0
212,마포구,신수동,252.0
213,마포구,서강동,130.0
214,마포구,서교동,144.0
215,마포구,합정동,111.0
216,마포구,망원1동,187.0
217,마포구,망원2동,157.0
218,마포구,연남동,243.0
219,마포구,성산1동,226.0
220,마포구,성산2동,203.0
221,마포구,상암동,41.0
222,양천구,목1동,201.0
223,양천구,목2동,298.0
224,양천구,목3동,422.0
225,양천구,목4동,449.0
226,양천구,목5동,205.0
227,양천구,신월1동,335.0
228,양천구,신월2동,351.0
229,양천구,신월3동,169.0
230,양천구,신월4동,392.0
231,양천구,신월5동,280.0
232,양천구,신월6동,314.0
233,양천구,신월7동,168.0
234,양천구,신정1동,289.0
235,양천구,신정2동,337.0
236,양천구,신정3동,164.0
237,양천구,신정4동,337.0
238,양천구,신정6동,257.0
239,양천구,신정7동,261.0
240,강서구,염창동,214.0
241,강서구,등촌1동,371.0
242,강서구,등촌2동,232.0
243,강서구,등촌3동,297.0
244,강서구,화곡1동,428.0
245,강서구,화곡2동,391.0
246,강서구,화곡3동,416.0
247,강서구,화곡4동,244.0
248,강서구,화곡본동,381.0
249,강서구,화곡6동,234.0
250,강서구,화곡8동,437.0
251,강서구,가양1동,68.0
252,강서구,가양2동,146.0
253,강서구,가양3동,224.0
254,강서구,발산1동,124.0
255,강서구,우장산동,344.0
256,강서구,공항동,27.0
257,강서구,방화1동,312.0
258,강서구,방화2동,42.0
259,강서구,방화3동,120.0
260,구로구,신도림동,276.0
261,구로구,구로1동,211.0
262,구로구,구로2동,136.0
263,구로구,구로3동,231.0
264,구로구,구로4동,379.0
265,구로구,구로5동,273.0
266,구로구,가리봉동,223.0
267,구로구,고척1동,213.0
268,구로구,고척2동,270.0
269,구로구,개봉1동,291.0
270,구로구,개봉2동,374.0
271,구로구,개봉3동,262.0
272,구로구,오류1동,323.0
273,구로구,오류2동,122.0
274,구로구,수궁동,89.0
275,금천구,가산동,103.0
276,금천구,독산1동,216.0
277,금천구,독산2동,319.0
278,금천구,독산3동,251.0
279,금천구,독산4동,257.0
280,금천구,시흥1동,235.0
281,금천구,시흥2동,188.0
282,금천구,시흥3동,84.0
283,금천구,시흥4동,257.0
284,금천구,시흥5동,132.0
285,영등포구,영등포본동,255.0
286,영등포구,영등포동,202.0
287,영등포구,여의동,51.0
288,영등포구,당산1동,278.0
289,영등포구,당산2동,246.0
290,영등포구,도림동,338.0
291,영등포구,문래동,191.0
292,영등포구,양평1동,200.0
293,영등포구,양평2동,87.0
294,영등포구,신길1동,227.0
295,영등포구,신길3동,323.0
296,영등포구,신길4동,351.0
297,영등포구,신길5동,232.0
298,영등포구,신길6동,310.0
299,영등포구,신길7동,319.0
300,영등포구,대림1동,301.0
301,영등포구,대림2동,216.0
302,영등포구,대림3동,245.0
303,동작구,노량진1동,170.0
304,동작구,노량진2동,223.0
305,동작구,상도1동,302.0
306,동작구,상도2동,348.0
307,동작구,상도3동,379.0
308,동작구,상도4동,305.0
309,동작구,흑석동,157.0
310,동작구,사당1동,366.0
311,동작구,사당2동,89.0
312,동작구,사당3동,279.0
313,동작구,사당4동,335.0
314,동작구,사당5동,223.0
315,동작구,대방동,244.0
316,동작구,신대방1동,345.0
317,동작구,신대방2동,204.0
318,관악구,보라매동,306.0
319,관악구,청림동,513.0
320,관악구,성현동,480.0
321,관악구,행운동,391.0
322,관악구,낙성대동,67.0
323,관악구,청룡동,292.0
324,관악구,은천동,457.0
325,관악구,중앙동,394.0
326,관악구,인헌동,359.0
327,관악구,남현동,44.0
328,관악구,서원동,348.0
329,관악구,신원동,330.0
330,관악구,서림동,260.0
331,관악구,신사동,372.0
332,관악구,신림동,430.0
333,관악구,난향동,201.0
334,관악구,조원동,268.0
335,관악구,대학동,30.0
336,관악구,삼성동,92.0
337,관악구,미성동,228.0
338,관악구,난곡동,278.0
339,서초구,서초1동,152.0
340,서초구,서초2동,174.0
341,서초구,서초3동,105.0
342,서초구,서초4동,356.0
343,서초구,잠원동,154.0
344,서초구,반포본동,80.0
345,서초구,반포1동,323.0
346,서초구,반포2동,128.0
347,서초구,반포3동,169.0
348,서초구,반포4동,137.0
349,서초구,방배본동,320.0
350,서초구,방배1동,249.0
351,서초구,방배2동,106.0
352,서초구,방배3동,88.0
353,서초구,방배4동,249.0
354,서초구,양재1동,78.0
355,서초구,양재2동,30.0
356,서초구,내곡동,14.0
357,강남구,신사동,96.0
358,강남구,논현1동,183.0
359,강남구,논현2동,150.0
360,강남구,압구정동,108.0
361,강남구,청담동,113.0
362,강남구,삼성1동,70.0
363,강남구,삼성2동,241.0
364,강남구,대치1동,313.0
365,강남구,대치2동,184.0
366,강남구,대치4동,285.0
367,강남구,역삼1동,152.0
368,강남구,역삼2동,328.0
369,강남구,도곡1동,216.0
370,강남구,도곡2동,331.0
371,강남구,개포1동,66.0
372,강남구,개포2동,94.0
373,강남구,개포4동,144.0
374,강남구,세곡동,75.0
375,강남구,일원본동,101.0
376,강남구,일원1동,165.0
377,강남구,일원2동,169.0
378,강남구,수서동,92.0
379,송파구,풍납1동,131.0
380,송파구,풍납2동,128.0
381,송파구,거여1동,246.0
382,송파구,거여2동,371.0
383,송파구,마천1동,344.0
384,송파구,마천2동,235.0
385,송파구,방이1동,278.0
386,송파구,방이2동,342.0
387,송파구,오륜동,59.0
388,송파구,오금동,234.0
389,송파구,송파1동,363.0
390,송파구,송파2동,325.0
391,송파구,석촌동,345.0
392,송파구,삼전동,317.0
393,송파구,가락본동,264.0
394,송파구,가락1동,205.0
395,송파구,가락2동,353.0
396,송파구,문정1동,337.0
397,송파구,문정2동,125.0
398,송파구,장지동,232.0
399,송파구,위례동,117.0
400,송파구,잠실본동,251.0
401,송파구,잠실2동,125.0
402,송파구,잠실3동,234.0
403,송파구,잠실4동,259.0
404,송파구,잠실6동,123.0
405,송파구,잠실7동,146.0
406,강동구,강일동,95.0
407,강동구,상일동,184.0
408,강동구,명일1동,417.0
409,강동구,명일2동,190.0
410,강동구,고덕1동,136.0
411,강동구,고덕2동,93.0
412,강동구,암사1동,480.0
413,강동구,암사2동,66.0
414,강동구,암사3동,100.0
415,강동구,천호1동,410.0
416,강동구,천호2동,189.0
417,강동구,천호3동,467.0
418,강동구,성내1동,307.0
419,강동구,성내2동,389.0
420,강동구,성내3동,365.0
421,강동구,길동,293.0
422,강동구,둔촌1동,0.0
423,강동구,둔촌2동,165.0
