,구별,동별,2018,2019,2020,2021,2022
1,종로구,사직동,9818,9815,9806,9636,9355
2,종로구,삼청동,3073,2997,2909,2739,2642
3,종로구,부암동,10537,10551,10333,9782,9536
4,종로구,평창동,19105,18816,18582,18329,17858
5,종로구,무악동,8260,8740,8592,8297,8052
6,종로구,교남동,10846,10708,10634,10203,9994
7,종로구,가회동,4546,4488,4418,4194,4065
8,종로구,종로1.2.3.4가동,8462,8446,8448,8595,8700
9,종로구,종로5.6가동,5597,5839,5656,5476,5817
10,종로구,이화동,8621,8470,8111,7705,7631
11,종로구,창신1동,6237,6079,5964,5631,5383
12,종로구,창신2동,10015,9799,9503,9051,8796
13,종로구,창신3동,7439,7271,7107,6733,6606
14,종로구,숭인1동,6723,6532,6388,6106,6057
15,종로구,숭인2동,10088,9902,10178,10175,10509
16,종로구,청운효자동,13293,12981,12633,12177,11818
17,종로구,혜화동,20366,20435,19734,18960,19392
19,중구,소공동,2936,3059,3011,3367,3578
20,중구,회현동,5952,5850,5757,5432,5222
21,중구,명동,3470,3567,3685,3742,3638
22,중구,필동,5045,5020,4754,4679,4816
23,중구,장충동,5653,5628,5468,5301,5326
24,중구,광희동,6057,6284,6416,6340,6682
25,중구,을지로동,1901,2007,1967,1914,1912
26,중구,신당5동,9691,10929,10867,10708,10513
27,중구,황학동,13380,13689,13531,13444,13459
28,중구,중림동,12980,12942,12801,12351,12338
29,중구,신당동,9419,9234,9191,9095,9087
30,중구,다산동,15113,15035,14725,14274,13954
31,중구,약수동,17973,17734,17354,16889,16610
32,중구,청구동,14844,14515,14281,13818,13451
33,중구,동화동,11219,10995,10827,10433,10199
35,용산구,후암동,18703,18445,18202,17308,16812
36,용산구,용산2가동,12107,11836,11272,10775,10333
37,용산구,남영동,8501,8412,8116,7825,7552
38,용산구,원효로2동,15064,14718,14331,13875,13795
39,용산구,효창동,9054,10300,10326,10156,10888
40,용산구,용문동,12757,12587,12455,11985,11664
41,용산구,이촌1동,29341,29255,28961,26632,25707
42,용산구,이촌2동,9090,9005,8808,8374,8094
43,용산구,이태원1동,9315,9222,8764,8126,7947
44,용산구,이태원2동,10927,10811,10795,10604,10427
45,용산구,서빙고동,14257,14102,14000,13912,13458
46,용산구,보광동,16124,15862,15531,14708,14060
47,용산구,청파동,20922,20661,20496,20076,19833
48,용산구,원효로1동,16034,16630,16730,16577,17774
49,용산구,한강로동,19209,19635,22097,23411,22886
50,용산구,한남동,23685,23704,23761,22941,22054
52,성동구,왕십리2동,18148,17744,17416,16819,16688
53,성동구,마장동,24157,24035,23459,22991,22706
54,성동구,사근동,13408,13543,13512,13505,14082
55,성동구,행당1동,16728,16463,14363,14193,13996
56,성동구,행당2동,25075,24640,24151,23376,23148
57,성동구,응봉동,16405,16188,15824,15458,15100
58,성동구,금호1가동,16191,15954,15795,15315,15137
59,성동구,금호4가동,15488,15227,14842,14452,14228
60,성동구,성수1가1동,17570,17168,16851,16814,16407
61,성동구,성수1가2동,15786,14735,13738,12874,12322
62,성동구,성수2가1동,18317,17722,17146,16279,15716
63,성동구,성수2가3동,11915,11682,11457,10985,10520
64,성동구,송정동,11778,11428,11143,10915,10464
65,성동구,용답동,15659,13290,12724,12568,12551
66,성동구,왕십리도선동,27853,27767,27588,26910,26903
67,성동구,금호2.3가동,24467,24171,23584,22909,22423
68,성동구,옥수동,27518,27222,26912,26309,25843
69,성동구,기타,0,0,0,0,0
71,광진구,화양동,24804,25537,25541,26034,27082
72,광진구,군자동,22029,22109,21903,21500,21524
73,광진구,중곡1동,16500,16287,16190,15862,15663
74,광진구,중곡2동,22699,22564,22285,21739,21336
75,광진구,중곡3동,17843,17315,16902,16357,16177
76,광진구,중곡4동,31159,30516,29815,28954,28405
77,광진구,능동,11891,11978,11913,11619,11561
78,광진구,구의1동,23282,23063,22700,22139,24049
79,광진구,구의2동,27974,27902,27444,27008,26573
80,광진구,구의3동,30476,30094,29588,28891,28440
81,광진구,광장동,36309,36083,35619,34834,34362
82,광진구,자양1동,24476,24156,23710,23134,22709
83,광진구,자양2동,27435,26893,26016,24930,24253
84,광진구,자양3동,30132,29475,28957,28330,27858
85,광진구,자양4동,24054,23000,21526,21296,21260
87,동대문구,회기동,12868,13114,12663,12727,13536
88,동대문구,휘경1동,14653,16508,15362,16105,16339
89,동대문구,휘경2동,25147,25068,24992,24847,24666
90,동대문구,청량리동,22527,21808,20432,19280,19094
91,동대문구,용신동,31961,32144,32602,33055,36137
92,동대문구,제기동,27576,27364,27017,26577,26484
93,동대문구,전농1동,30988,31075,30722,29699,29220
94,동대문구,전농2동,20351,19990,19449,18876,18629
95,동대문구,답십리2동,28970,30486,29486,28595,28055
96,동대문구,장안1동,39212,39153,39287,38794,38677
97,동대문구,장안2동,31649,33045,33339,32791,32685
98,동대문구,이문1동,26940,22311,21205,20870,21366
99,동대문구,이문2동,22004,21174,20947,20417,20183
100,동대문구,답십리1동,29492,29783,29511,29373,28530
102,중랑구,면목2동,26482,25942,25214,24405,24206
103,중랑구,면목4동,20730,20052,19270,19308,18746
104,중랑구,면목5동,10071,9825,14661,14897,14836
105,중랑구,면목7동,22258,22200,22714,22070,21798
106,중랑구,상봉1동,25619,25499,24912,24190,23714
107,중랑구,상봉2동,19243,19844,20214,20647,20612
108,중랑구,중화1동,21030,20916,20400,19784,19293
109,중랑구,중화2동,28660,27274,26073,25315,24926
110,중랑구,묵1동,36233,36016,35588,34636,34344
111,중랑구,묵2동,20355,19901,19672,18946,18624
112,중랑구,망우3동,18334,17941,17508,16698,16303
113,중랑구,신내1동,41264,40854,39831,38649,38205
114,중랑구,신내2동,22379,21905,21302,20529,20155
115,중랑구,면목본동,36558,36195,35424,34188,33856
116,중랑구,면목3.8동,27139,26589,25995,25154,24617
117,중랑구,망우본동,31792,31071,30784,32469,35905
119,성북구,돈암1동,16404,15921,15379,14791,14474
120,성북구,돈암2동,25273,25028,24686,23913,23657
121,성북구,안암동,17260,17502,16580,16527,17118
122,성북구,보문동,17067,16653,16123,15766,16712
123,성북구,정릉1동,18642,19455,18929,18377,18197
124,성북구,정릉2동,24267,23834,23736,23268,22911
125,성북구,정릉3동,17294,17233,16847,16210,16567
126,성북구,정릉4동,27161,26792,25993,25322,24911
127,성북구,길음1동,37829,37082,36568,35615,35000
128,성북구,길음2동,11767,16620,17167,16780,21728
129,성북구,월곡1동,27854,27523,27108,26525,26169
130,성북구,월곡2동,20702,20509,20396,19896,19739
131,성북구,장위1동,21228,20592,20449,24511,24082
132,성북구,장위2동,15069,13972,14106,13953,13622
133,성북구,장위3동,11689,17580,17359,15980,15868
134,성북구,성북동,17902,17584,17404,17026,16889
135,성북구,삼선동,26971,26013,24144,23413,23044
136,성북구,동선동,16386,16276,16246,16115,15870
137,성북구,종암동,42876,42068,41353,40325,40111
138,성북구,석관동,34046,36507,36483,35829,35315
140,강북구,번1동,19964,19614,19441,18717,18578
141,강북구,번2동,17504,17102,16544,15932,15397
142,강북구,번3동,18967,18251,17605,16905,16449
143,강북구,수유1동,22338,21841,21468,20849,20501
144,강북구,수유2동,22526,21939,21595,21421,21054
145,강북구,수유3동,24280,24064,23907,23393,23778
146,강북구,삼양동,26575,25537,24742,23802,23090
147,강북구,미아동,23228,22814,22723,21997,21685
148,강북구,송중동,29549,31153,30934,30035,29910
149,강북구,송천동,29519,28628,27871,26801,25998
150,강북구,삼각산동,33524,32900,32118,31470,30939
151,강북구,우이동,21895,21391,21076,20678,20407
152,강북구,인수동,33046,32461,31545,30563,29916
154,도봉구,쌍문1동,22428,22364,22016,21658,21445
155,도봉구,쌍문2동,20580,20025,19406,18864,18461
156,도봉구,쌍문3동,17406,17262,16922,16768,16934
157,도봉구,쌍문4동,20102,19811,19297,18643,18348
158,도봉구,방학1동,30563,30056,29236,28912,28410
159,도봉구,방학2동,21648,21140,20473,19867,19354
160,도봉구,방학3동,29336,28782,27973,27110,26500
161,도봉구,창1동,26725,26271,25400,24827,24502
162,도봉구,창2동,31351,30498,29912,29337,28957
163,도봉구,창3동,15150,14777,14402,13923,13633
164,도봉구,창4동,28464,27873,27286,26583,26121
165,도봉구,창5동,26029,25802,25308,24709,24343
166,도봉구,도봉1동,22839,22293,21810,21210,20622
167,도봉구,도봉2동,29028,28677,27920,26962,26359
169,노원구,월계1동,24087,23883,23085,22240,21580
170,노원구,월계2동,26692,27289,27615,26704,26066
171,노원구,월계3동,32496,31593,30790,30069,29384
172,노원구,공릉2동,41539,41071,40360,41004,42538
173,노원구,하계1동,29901,29305,27965,27036,26982
174,노원구,하계2동,23852,23318,22723,22034,21642
175,노원구,중계본동,26863,25875,24942,24009,23477
176,노원구,중계1동,28351,28061,27556,26877,26580
177,노원구,중계4동,21841,21324,20752,19975,19601
178,노원구,상계1동,41010,40121,39204,38275,37857
179,노원구,상계2동,21624,21220,20692,20143,19629
180,노원구,상계5동,26230,25483,24797,24077,23737
181,노원구,상계8동,24427,23953,22963,22598,22344
182,노원구,상계9동,22348,21919,21221,20529,20071
183,노원구,상계10동,17021,16619,17631,18731,18477
184,노원구,상계3.4동,26622,25818,27184,26268,25324
185,노원구,상계6.7동,35480,34648,33642,32774,32044
186,노원구,중계2.3동,37786,36763,35586,34326,33497
187,노원구,공릉1동,39990,39040,38324,37277,37184
189,은평구,녹번동,34901,38411,37815,37164,36884
190,은평구,불광1동,41585,40917,40022,38777,38265
191,은평구,갈현1동,25191,24536,23396,22077,17151
192,은평구,갈현2동,30692,30150,29239,28547,28176
193,은평구,구산동,34132,33804,32997,32464,32020
194,은평구,대조동,32608,27910,27579,27204,26862
195,은평구,응암1동,26185,25654,31265,33287,33279
196,은평구,응암2동,21086,25466,27776,28107,28016
197,은평구,신사1동,28926,28570,27776,27231,26984
198,은평구,신사2동,22247,21875,20945,20330,19497
199,은평구,증산동,16412,16172,15487,15034,18647
200,은평구,수색동,11266,8952,11258,12752,13210
201,은평구,진관동,56487,58006,57256,56012,55034
202,은평구,불광2동,29914,29552,28740,27798,27280
203,은평구,응암3동,26417,26081,25553,24637,24313
204,은평구,역촌동,49617,48490,46939,45752,44984
206,서대문구,천연동,19044,18704,18049,17359,17031
207,서대문구,홍제1동,23123,24997,24604,23929,24674
208,서대문구,홍제3동,16616,16420,15983,15478,17890
209,서대문구,홍제2동,14934,14570,14334,13801,13433
210,서대문구,홍은1동,24131,22902,23266,22933,22825
211,서대문구,홍은2동,29004,28394,27734,27222,27499
212,서대문구,남가좌1동,17199,16918,16141,15627,16884
213,서대문구,남가좌2동,24989,25947,30996,30807,30508
214,서대문구,북가좌1동,19311,19160,18557,18121,17804
215,서대문구,북가좌2동,34237,33810,32947,31893,31244
216,서대문구,충현동,18291,18113,21229,20760,20316
217,서대문구,북아현동,17832,17525,16956,16236,15875
218,서대문구,신촌동,23917,24372,23051,23759,26143
219,서대문구,연희동,40452,41339,39105,37734,37428
221,마포구,용강동,22647,22441,22257,22038,21786
222,마포구,대흥동,13661,13575,15863,15848,16177
223,마포구,염리동,13063,13486,12864,17657,17633
224,마포구,신수동,21806,23877,23606,22834,22672
225,마포구,서교동,26264,25997,26981,26549,26674
226,마포구,합정동,19535,19153,18576,17649,17064
227,마포구,망원1동,22125,21856,21113,20351,19757
228,마포구,망원2동,19641,19386,19216,18764,18449
229,마포구,연남동,17393,16953,16682,15899,15603
230,마포구,성산1동,20443,20164,19679,19246,19079
231,마포구,성산2동,41743,41531,40669,39909,39500
232,마포구,상암동,33550,32882,31997,31473,30837
233,마포구,도화동,22845,22594,21998,21391,21118
234,마포구,서강동,25622,26163,25386,25600,25576
235,마포구,공덕동,40506,40509,38750,37792,37476
236,마포구,아현동,25515,25358,26221,25686,26184
238,양천구,목1동,32458,32173,31727,30883,30536
239,양천구,목2동,31754,31477,30705,30139,29641
240,양천구,목3동,23231,23095,22643,21977,21719
241,양천구,목4동,27289,26909,26190,25544,25018
242,양천구,신월1동,22379,21773,21246,20693,20343
243,양천구,신월2동,22853,22126,21520,20819,20569
244,양천구,신월3동,17186,16719,15965,15372,14934
245,양천구,신월4동,19335,19026,18487,18012,17698
246,양천구,신월5동,15759,15570,15189,14750,14461
247,양천구,신월6동,6815,6615,13798,13945,13816
248,양천구,신월7동,22347,21602,20651,19917,19199
249,양천구,신정1동,21677,21627,21074,20487,19962
250,양천구,신정2동,20987,20685,20207,19596,19003
251,양천구,신정3동,48799,48151,46787,49979,50587
252,양천구,신정6동,25500,25304,25038,24552,24152
253,양천구,신정7동,30193,30904,30075,29171,28579
254,양천구,목5동,43390,42948,42288,41308,40737
255,양천구,신정4동,36193,35581,34191,33343,33056
257,강서구,염창동,41016,42579,42017,41764,41628
258,강서구,등촌1동,23558,23717,24338,24436,24991
259,강서구,등촌2동,22118,21868,21216,20423,19855
260,강서구,등촌3동,33279,32506,31660,30714,30025
261,강서구,화곡본동,36390,35918,34981,34612,34121
262,강서구,화곡2동,20041,19487,18727,18096,17785
263,강서구,화곡3동,22730,22710,21938,21661,21603
264,강서구,화곡4동,22694,22044,21413,20820,20514
265,강서구,화곡6동,24840,25118,25133,25096,25303
266,강서구,화곡8동,26833,26509,25674,24789,24415
267,강서구,가양1동,33556,34154,34540,34395,34359
268,강서구,가양2동,15763,15140,14588,14109,13902
269,강서구,가양3동,16516,16199,15583,15138,14678
270,강서구,발산1동,38879,38507,37530,36572,36236
271,강서구,공항동,28646,28261,27627,31483,30927
272,강서구,방화1동,46357,45668,44550,43181,42851
273,강서구,방화2동,24391,24051,23442,23656,23371
274,강서구,방화3동,24912,24467,23577,22924,22544
275,강서구,화곡1동,54687,54562,53380,52770,52647
276,강서구,우장산동,46405,44808,43987,43129,42883
278,구로구,신도림동,37615,37188,36494,36342,36138
279,구로구,구로1동,21911,22097,21632,21166,20936
280,구로구,구로3동,26974,26290,25722,25157,25055
281,구로구,구로4동,27165,26219,25031,23745,23052
282,구로구,구로5동,34085,33426,32339,31822,31740
283,구로구,고척1동,24659,24182,23547,22657,25636
284,구로구,고척2동,29543,28950,27853,27092,26557
285,구로구,개봉2동,33715,33036,32218,31314,30665
286,구로구,개봉3동,22156,22005,21284,20590,20251
287,구로구,오류1동,22651,23295,23360,23155,23126
288,구로구,수궁동,25461,24890,24297,23806,23332
289,구로구,가리봉동,16206,15250,14263,13091,12653
290,구로구,구로2동,36289,35208,33050,31164,30093
291,구로구,개봉1동,34658,33835,35239,34560,34105
292,구로구,오류2동,45398,53500,39755,39026,38528
293,구로구,항동,0,0,16404,16476,16551
295,금천구,가산동,24459,24455,25973,26179,26569
296,금천구,독산1동,41826,43840,44191,46698,47573
297,금천구,독산2동,22103,21405,20666,20175,19562
298,금천구,독산3동,30702,29916,28535,27595,27239
299,금천구,독산4동,18776,18227,17464,16778,16432
300,금천구,시흥1동,37078,36706,35781,34533,34054
301,금천구,시흥2동,23253,22659,22092,21351,20832
302,금천구,시흥3동,11740,11524,11285,10951,10701
303,금천구,시흥4동,22747,22216,21520,20916,20614
304,금천구,시흥5동,21337,20872,20328,19715,19242
306,영등포구,여의동,33973,34598,34463,33420,32923
307,영등포구,당산1동,21361,21524,21197,20648,20740
308,영등포구,당산2동,36191,36324,38011,37911,37102
309,영등포구,양평1동,17959,18263,17702,18487,18704
310,영등포구,양평2동,22962,22802,22603,22499,22583
311,영등포구,신길1동,19696,19750,19167,18755,20483
312,영등포구,신길3동,17563,18727,18086,17575,17281
313,영등포구,신길4동,10425,9985,12974,13089,13016
314,영등포구,신길5동,11649,10670,12496,11701,11212
315,영등포구,신길6동,19801,19434,19071,19869,19593
316,영등포구,신길7동,17216,17075,20494,20158,19899
317,영등포구,대림1동,17030,16332,17751,17067,16506
318,영등포구,대림2동,22231,21370,19776,18162,17523
319,영등포구,대림3동,29519,28638,26973,25876,25205
320,영등포구,영등포본동,25480,24813,23790,23152,22714
321,영등포구,영등포동,26111,27166,28749,29901,30461
322,영등포구,도림동,22178,21552,20665,19826,19600
323,영등포구,문래동,32255,31963,33399,32812,32540
324,영등포구,기타,0,0,0,0,0
326,동작구,노량진2동,14307,13789,13512,11550,11234
327,동작구,상도1동,48317,48153,46840,45485,46166
328,동작구,상도2동,27767,29270,28162,28362,27982
329,동작구,상도3동,26181,26041,25416,24846,24456
330,동작구,상도4동,30264,29893,29306,28914,28564
331,동작구,사당1동,24064,24026,23632,23321,23009
332,동작구,사당3동,26762,26034,25244,24548,24189
333,동작구,사당4동,15091,14921,14599,14301,14185
334,동작구,사당5동,13207,12886,14811,14558,14434
335,동작구,대방동,40360,40177,39172,38338,37056
336,동작구,신대방1동,27214,26599,25823,24999,25118
337,동작구,신대방2동,21076,20719,20466,21404,22445
338,동작구,흑석동,33231,35551,34544,33293,30694
339,동작구,노량진1동,32802,32563,32387,32298,32114
340,동작구,사당2동,28742,28290,27658,28147,28786
342,관악구,보라매동,26398,26496,25278,24918,24660
343,관악구,청림동,16527,16286,15711,15214,15005
344,관악구,행운동,30438,30061,29799,29413,29636
345,관악구,낙성대동,17780,17623,17579,17434,17928
346,관악구,중앙동,15716,15895,15758,15487,15685
347,관악구,인헌동,27293,27088,26500,26154,26119
348,관악구,남현동,18998,18980,18598,18274,18163
349,관악구,서원동,23933,24068,23565,23278,23511
350,관악구,신원동,20119,19742,19290,18675,18620
351,관악구,서림동,24881,24339,24410,23689,24361
352,관악구,신사동,26442,25960,25426,24838,24719
353,관악구,신림동,22256,22525,22667,23128,23877
354,관악구,난향동,16693,16394,15915,15420,15050
355,관악구,조원동,19824,19579,19232,18786,20490
356,관악구,대학동,24823,24457,24907,24921,26301
357,관악구,은천동,35797,35337,34595,33631,33156
358,관악구,성현동,33033,31175,30472,29394,28830
359,관악구,청룡동,30242,34440,36325,36482,37132
360,관악구,난곡동,29484,28912,28054,27216,26679
361,관악구,삼성동,26068,25226,23935,22041,20642
362,관악구,미성동,33295,32751,31787,31056,30662
364,서초구,서초1동,21574,21579,21187,20711,20622
365,서초구,서초2동,18506,18837,21731,26595,26932
366,서초구,서초3동,30754,30951,32307,32769,32379
367,서초구,서초4동,31817,31988,31718,31089,30521
368,서초구,잠원동,34962,35131,28532,26946,26393
369,서초구,반포본동,12583,12190,11991,2000,292
370,서초구,반포1동,32109,33237,32630,34815,34443
371,서초구,반포2동,16761,16385,16240,15801,15742
372,서초구,반포3동,20434,20390,22412,22245,22773
373,서초구,반포4동,20600,20232,19977,19807,19486
374,서초구,방배본동,21746,21585,21293,21083,20778
375,서초구,방배1동,17683,17524,17381,16980,16883
376,서초구,방배2동,22491,20958,20404,19474,18553
377,서초구,방배3동,22268,22455,21441,18861,17321
378,서초구,방배4동,24442,24083,24036,23817,23429
379,서초구,양재1동,46713,45940,44890,43408,42683
380,서초구,양재2동,24032,23161,22709,22144,21766
381,서초구,내곡동,18688,18481,18146,17622,17455
383,강남구,신사동,17813,17546,16914,16213,15876
384,강남구,개포3동,0,0,0,0,17382
385,강남구,논현1동,24061,23792,23734,22702,22080
386,강남구,논현2동,22304,21904,21997,21331,20814
387,강남구,삼성1동,15252,14920,13600,13136,12739
388,강남구,삼성2동,30492,30674,30368,30692,31062
389,강남구,대치1동,25590,25302,24922,24199,23846
390,강남구,대치4동,21265,20822,20744,20079,19491
391,강남구,역삼1동,36861,37002,36771,36590,35556
392,강남구,역삼2동,36822,37336,37291,36378,37269
393,강남구,도곡1동,22844,22626,22227,21539,21274
394,강남구,도곡2동,34704,34437,34042,33261,32846
395,강남구,개포1동,7800,6920,6670,6489,6922
396,강남구,개포4동,18920,18405,22765,23870,23639
397,강남구,일원본동,24781,24399,23945,23291,23015
398,강남구,일원1동,17136,16438,15827,15214,14987
399,강남구,일원2동,16593,18160,17709,17585,0
400,강남구,수서동,16421,15934,15299,14870,14402
401,강남구,세곡동,45445,45064,44475,43396,43382
402,강남구,압구정동,28146,27712,27440,26446,25902
403,강남구,청담동,30185,30120,27266,25911,25489
404,강남구,대치2동,40163,38647,37752,36663,37098
405,강남구,개포2동,13855,22049,22297,27945,29032
406,강남구,기타,0,0,0,0,0
408,송파구,풍납1동,16380,15518,14585,13451,12910
409,송파구,풍납2동,25149,25288,25703,24953,24426
410,송파구,거여1동,13339,13221,13077,12614,12255
411,송파구,거여2동,17299,16921,19330,18806,23745
412,송파구,마천1동,21344,20764,19909,19071,18618
413,송파구,마천2동,20684,20242,19719,18866,18150
414,송파구,방이1동,16631,16524,16298,15766,15460
415,송파구,방이2동,25801,26044,26675,27015,26354
416,송파구,오륜동,19244,18864,18495,18079,17804
417,송파구,오금동,41014,41067,39668,38654,38037
418,송파구,송파1동,26401,26026,25190,24176,24008
419,송파구,송파2동,21210,20862,20800,19283,18947
420,송파구,석촌동,34760,34309,33166,32169,31602
421,송파구,삼전동,33440,32613,31839,30695,29912
422,송파구,가락본동,28353,27876,27368,26523,25883
423,송파구,가락1동,1115,27716,27876,27365,27521
424,송파구,가락2동,34455,33920,33204,32406,31670
425,송파구,문정1동,21731,21301,20868,20198,19916
426,송파구,문정2동,30140,29967,29547,29072,28841
427,송파구,잠실본동,29756,29628,29093,28439,28358
428,송파구,잠실4동,30089,22240,21798,21376,21223
429,송파구,잠실6동,17461,17441,17366,16905,16713
430,송파구,잠실7동,10369,10191,9903,9564,9427
431,송파구,잠실2동,37069,36809,36216,35145,34876
432,송파구,잠실3동,36546,36038,35497,34475,34143
433,송파구,장지동,34892,33055,30370,29693,29102
434,송파구,위례동,28835,28296,30366,39206,44613
436,강동구,강일동,32928,32127,35778,32982,33057
437,강동구,상일동,11138,10773,33345,0,0
438,강동구,명일1동,22483,26758,26377,25941,25641
439,강동구,명일2동,18020,17778,17555,17568,17327
440,강동구,고덕1동,27469,27079,26103,24417,23919
441,강동구,고덕2동,7709,19345,22568,22329,22764
442,강동구,암사2동,14711,14774,15507,15252,15069
443,강동구,암사3동,18943,18693,18420,17947,17481
444,강동구,천호1동,29144,28400,27745,26973,26670
445,강동구,천호3동,28568,27996,27085,27000,26679
446,강동구,성내1동,20996,20561,20353,20045,19900
447,강동구,성내2동,25725,25186,24948,24106,23528
448,강동구,성내3동,24155,23921,23692,23346,23071
449,강동구,둔촌1동,317,283,262,144,73
450,강동구,둔촌2동,28260,27752,26413,24785,24277
451,강동구,암사1동,37760,36693,35728,34782,34271
452,강동구,천호2동,36423,35904,35251,33753,33825
453,강동구,길동,47171,46367,46868,45973,45374
454,강동구,상일1동,0,0,0,38929,39178
455,강동구,상일2동,0,0,0,10200,11933
